product_name,brand_name,product_price,product_discount,product_reviews,product_rating
Fashion Women Necklace Double Layers Butterfly Shape-Golden,Fashion,KSh 113,"<div class=""bdg _dsct _sm"">45%</div>",,4.3 out of 5
Fashion Pearl Earrings Hoop Earrings Set Punk Metal Drop Earrings 6 Pairs,Fashion,KSh 259,"<div class=""bdg _dsct _sm"">35%</div>",,4 out of 5
Fashion Necklace Adjustable Chain Stylish Alloy 5 Pendants-Silver,Fashion,KSh 86,"<div class=""bdg _dsct _sm"">35%</div>",,3.7 out of 5
Fashion Elegant Tiny Cute Small Love Heart Short Necklace Pendant-,Fashion,KSh 80,"<div class=""bdg _dsct _sm"">33%</div>",,3.7 out of 5
Fashion Multi-layer Golden Necklaces Jewely Choker Chain Necklace Vintage For Women,Fashion,KSh 299,"<div class=""bdg _dsct _sm"">15%</div>",,3.4 out of 5
Fashion Retro Bohemian Vintage Stud Earrings With Zircoins 5 Pairs/set,Fashion,KSh 229,"<div class=""bdg _dsct _sm"">43%</div>",,4.5 out of 5
Fashion Diamond Tassel Earrings For Women,Fashion,KSh 241,"<div class=""bdg _dsct _sm"">50%</div>",,3.7 out of 5
Fashion Women's Sexy Star Moon Double-Layer Vertical Drop Bar-Silver,Fashion,KSh 109,"<div class=""bdg _dsct _sm"">46%</div>",,3.5 out of 5
Fashion Love Stone Rhinestone Necklace Collar Chain Women Fashion Neckchain,Fashion,KSh 292,"<div class=""bdg _dsct _sm"">24%</div>",,4 out of 5
Fashion Faux Gemstone Rock Natural Quartz Healing Point Chakra-Clear,Fashion,KSh 107,"<div class=""bdg _dsct _sm"">45%</div>",,4.5 out of 5
Fashion 6 Pairs/Set Jewelry Women's Hollow Hoop Pearl Earrings Gold,Fashion,KSh 307,"<div class=""bdg _dsct _sm"">49%</div>",,4.1 out of 5
Fashion 3pcs Faux Pearl Choker Necklaces Punk Chunky Chain Jewelry For Women,Fashion,KSh 375,"<div class=""bdg _dsct _sm"">50%</div>",,4.9 out of 5
Fashion  5-Piece Vintage Artistic Alloy Bracelet Set – Elegant Mixed Designs for Everyday Chic,Fashion,KSh 344,"<div class=""bdg _dsct _sm"">13%</div>",,4 out of 5
Fashion Women Casual Dating Temperament Gift Bracelet Four-leaf Clover - White,Fashion,KSh 255,"<div class=""bdg _dsct _sm"">49%</div>",,4.3 out of 5
Fashion 4PCS/Set Heart Pendant Jewelry Set Trendy Chain Necklace Bracelet Earrings Set,Fashion,KSh 318,"<div class=""bdg _dsct _sm"">20%</div>",,5 out of 5
Fashion Popular Personality New Simple Multi Layered Lotus Pendant Necklace Neckchain,Fashion,KSh 379,"<div class=""bdg _dsct _sm"">5%</div>",,3.8 out of 5
Fashion Women Fashion Love Heart Star Elephant Pendant Choker Charm-,Fashion,KSh 59,"<div class=""bdg _dsct _sm"">39%</div>",,3.4 out of 5
Fashion Ring Silver Plated Heart Moon Design Inlaid Opal Ring For Women & Men,Fashion,KSh 252,"<div class=""bdg _dsct _sm"">50%</div>",,3.9 out of 5
22PcsSet Finger Rings Hollowed-out Heart Decor Ladies Rings Golden,Fashion,KSh 379,"<div class=""bdg _dsct _sm"">33%</div>",,3.6 out of 5
Fashion 10 Pcs Golden Rings Women Bohemian Rings Jewelry,Fashion,KSh 218,"<div class=""bdg _dsct _sm"">50%</div>",,3.1 out of 5
Fashion 8Pcs Finger Rings Vintage Electroplating Finger Rings Silver,Fashion,KSh 155,"<div class=""bdg _dsct _sm"">34%</div>",,4 out of 5
Fashion 1 Pair Women Fashion Elegant Ear Stud Hollow Square Jewelry-,Fashion,KSh 84,"<div class=""bdg _dsct _sm"">39%</div>",,4 out of 5
Fashion Women Faux Pearl Inlaid Double Triangle Crossover Ear Stud Earrings Jewelry Gift-Golden,Fashion,KSh 75,"<div class=""bdg _dsct _sm"">45%</div>",,4 out of 5
Fashion Women Faux Pearl Ear Studs Earrings Wedding Party-,Fashion,KSh 82,"<div class=""bdg _dsct _sm"">46%</div>",,4.8 out of 5
Fashion Necklace Adjustable Chain Stylish Alloy 5 Pendants-Golden,Fashion,KSh 98,"<div class=""bdg _dsct _sm"">46%</div>",,4 out of 5
Fashion Women's jewelry collection Women's necklace Silver jewelry Women's earrings Women's bracelet,Fashion,KSh 299,"<div class=""bdg _dsct _sm"">34%</div>",,3.6 out of 5
Fashion 1 Pair Fashion Faux Crystal Bowknot Cube Ear Stud-Green,Fashion,KSh 75,"<div class=""bdg _dsct _sm"">50%</div>",,4.4 out of 5
Fashion Ear Studs Asymmetric Anti-rust Women Leaf Rhinestone Tassel Earrings For Wedding-Golden,Fashion,KSh 92,"<div class=""bdg _dsct _sm"">46%</div>",,3.5 out of 5
Fashion Pearl Butterfly Jewelry Bracelet Accessories Ring Earring Set,Fashion,KSh 290,"<div class=""bdg _dsct _sm"">27%</div>",,3.9 out of 5
Fashion Ear Rings Dangle Exquisite Eye-catching 2 Colors-Golden,Fashion,KSh 76,"<div class=""bdg _dsct _sm"">50%</div>",,4.5 out of 5
Fashion Women Multilayer Faux Pearl Rhinestone Pendant Choker Chain-,Fashion,KSh 153,"<div class=""bdg _dsct _sm"">33%</div>",,3.5 out of 5
Fashion 15 Pcs Silver Rings Women Bohemian Rings Jewelry,Fashion,KSh 350,"<div class=""bdg _dsct _sm"">30%</div>",,3.5 out of 5
Fashion 1 Pair Unisex Cubic Zirconia Magnet Clip No Piercing-Clear,Fashion,KSh 73,"<div class=""bdg _dsct _sm"">37%</div>",,4.1 out of 5
Fashion 5pcs/Set Peach Heart Necklace Earrings Rings Bracelets Temperament Jewelry,Fashion,KSh 272,"<div class=""bdg _dsct _sm"">32%</div>",,5 out of 5
I Love You Necklace Silver 100 Languages Projection Pendant Jewelry Gift,Fashion,KSh 354,"<div class=""bdg _dsct _sm"">54%</div>",,4 out of 5
Fashion Luxury Cubic Zirconia Inlaid Women Engagement Wedding Party Ring Jewelry Gift,Fashion,KSh 145,"<div class=""bdg _dsct _sm"">45%</div>",,3.8 out of 5
Fashion Women Love Heart Design Bracelet Bangle Jewelry Chain-Black,Fashion,KSh 60,"<div class=""bdg _dsct _sm"">30%</div>",,3.7 out of 5
Fashion 7Pairs/Set Women Rhinestone Inlaid Sun Star Moon Stud-,Fashion,KSh 210,"<div class=""bdg _dsct _sm"">38%</div>",,3.9 out of 5
Fashion 1Pc Punk Tassels Chain Leaf Fish Cross Charms Ear Stud Cuff-,Fashion,KSh 79,"<div class=""bdg _dsct _sm"">34%</div>",,4 out of 5
Fashion 6Pcs Women Bracelets Stackable Circle Jewelry-Golden,Fashion,KSh 235,"<div class=""bdg _dsct _sm"">34%</div>",,4.2 out of 5
